Кількість вершин | Щільність | Час для списку суміжності | Час для матриці суміжності
---------------------------------------------
1     | 0.1   | 0.000000        | 0.000000
1     | 0.2   | 0.000000        | 0.000000
1     | 0.3   | 0.000000        | 0.000000
1     | 0.4   | 0.000000        | 0.000000
1     | 0.5   | 0.000000        | 0.000000
1     | 0.6   | 0.000000        | 0.000000
1     | 0.7   | 0.000000        | 0.000000
1     | 0.8   | 0.000000        | 0.000000
1     | 0.85  | 0.000000        | 0.000000
1     | 0.9   | 0.000000        | 0.000000
1     | 0.95  | 0.000000        | 0.000000
1     | 0.98  | 0.000000        | 0.000000
2     | 0.1   | 0.000001        | 0.000002
2     | 0.2   | 0.000001        | 0.000001
2     | 0.3   | 0.000006        | 0.000001
2     | 0.4   | 0.000001        | 0.000001
2     | 0.5   | 0.000001        | 0.000001
2     | 0.6   | 0.000001        | 0.000001
2     | 0.7   | 0.000001        | 0.000001
2     | 0.8   | 0.000001        | 0.000001
2     | 0.85  | 0.000001        | 0.000001
2     | 0.9   | 0.000001        | 0.000001
2     | 0.95  | 0.000001        | 0.000001
2     | 0.98  | 0.000001        | 0.000001
3     | 0.1   | 0.000002        | 0.000002
3     | 0.2   | 0.000001        | 0.000002
3     | 0.3   | 0.000007        | 0.000002
3     | 0.4   | 0.000002        | 0.000002
3     | 0.5   | 0.000001        | 0.000002
3     | 0.6   | 0.000002        | 0.000002
3     | 0.7   | 0.000001        | 0.000002
3     | 0.8   | 0.000001        | 0.000002
3     | 0.85  | 0.000002        | 0.000002
3     | 0.9   | 0.000001        | 0.000002
3     | 0.95  | 0.000002        | 0.000002
3     | 0.98  | 0.000001        | 0.000002
5     | 0.1   | 0.000003        | 0.000004
5     | 0.2   | 0.000003        | 0.000004
5     | 0.3   | 0.000009        | 0.000004
5     | 0.4   | 0.000003        | 0.000004
5     | 0.5   | 0.000004        | 0.000004
5     | 0.6   | 0.000004        | 0.000004
5     | 0.7   | 0.000003        | 0.000005
5     | 0.8   | 0.000004        | 0.000005
5     | 0.85  | 0.000004        | 0.000004
5     | 0.9   | 0.000004        | 0.000005
5     | 0.95  | 0.000004        | 0.000005
5     | 0.98  | 0.000004        | 0.000005
10    | 0.1   | 0.000007        | 0.000012
10    | 0.2   | 0.000008        | 0.000012
10    | 0.3   | 0.000009        | 0.000013
10    | 0.4   | 0.000011        | 0.000019
10    | 0.5   | 0.000014        | 0.000016
10    | 0.6   | 0.000015        | 0.000017
10    | 0.7   | 0.000016        | 0.000018
10    | 0.8   | 0.000019        | 0.000020
10    | 0.85  | 0.000019        | 0.000020
10    | 0.9   | 0.000020        | 0.000020
10    | 0.95  | 0.000019        | 0.000019
10    | 0.98  | 0.000021        | 0.000020
20    | 0.1   | 0.000017        | 0.000032
20    | 0.2   | 0.000027        | 0.000040
20    | 0.3   | 0.000034        | 0.000053
20    | 0.4   | 0.000044        | 0.000053
20    | 0.5   | 0.000050        | 0.000059
20    | 0.6   | 0.000061        | 0.000066
20    | 0.7   | 0.000067        | 0.000072
20    | 0.8   | 0.000081        | 0.000080
20    | 0.85  | 0.000076        | 0.000083
20    | 0.9   | 0.000079        | 0.000086
20    | 0.95  | 0.000099        | 0.000093
20    | 0.98  | 0.000092        | 0.000089
30    | 0.1   | 0.000035        | 0.000067
30    | 0.2   | 0.000064        | 0.000085
30    | 0.3   | 0.000078        | 0.000107
30    | 0.4   | 0.000102        | 0.000121
30    | 0.5   | 0.000128        | 0.000149
30    | 0.6   | 0.000144        | 0.000156
30    | 0.7   | 0.000164        | 0.000169
30    | 0.8   | 0.000189        | 0.000175
30    | 0.85  | 0.000222        | 0.000205
30    | 0.9   | 0.000207        | 0.000210
30    | 0.95  | 0.000242        | 0.000229
30    | 0.98  | 0.000219        | 0.000211
35    | 0.1   | 0.000046        | 0.000093
35    | 0.2   | 0.000080        | 0.000118
35    | 0.3   | 0.000105        | 0.000142
35    | 0.4   | 0.000148        | 0.000185
35    | 0.5   | 0.000179        | 0.000200
35    | 0.6   | 0.000210        | 0.000213
35    | 0.7   | 0.000248        | 0.000241
35    | 0.8   | 0.000255        | 0.000253
35    | 0.85  | 0.000324        | 0.000264
35    | 0.9   | 0.000327        | 0.000287
35    | 0.95  | 0.000328        | 0.000312
35    | 0.98  | 0.000332        | 0.000306
50    | 0.1   | 0.000095        | 0.000197
50    | 0.2   | 0.000166        | 0.000264
50    | 0.3   | 0.000237        | 0.000319
50    | 0.4   | 0.000316        | 0.000413
50    | 0.5   | 0.000403        | 0.000428
50    | 0.6   | 0.000471        | 0.000515
50    | 0.7   | 0.000530        | 0.000577
50    | 0.8   | 0.000635        | 0.000607
50    | 0.85  | 0.000644        | 0.000640
50    | 0.9   | 0.000690        | 0.000695
50    | 0.95  | 0.000747        | 0.000732
50    | 0.98  | 0.000778        | 0.000802
75    | 0.1   | 0.000213        | 0.000465
75    | 0.2   | 0.000404        | 0.000644
75    | 0.3   | 0.000582        | 0.000786
75    | 0.4   | 0.000771        | 0.000992
75    | 0.5   | 0.000945        | 0.001137
75    | 0.6   | 0.001205        | 0.001326
75    | 0.7   | 0.001350        | 0.001491
75    | 0.8   | 0.001490        | 0.001579
75    | 0.85  | 0.001580        | 0.001722
75    | 0.9   | 0.001633        | 0.001705
75    | 0.95  | 0.001753        | 0.001787
75    | 0.98  | 0.001913        | 0.001899
100   | 0.1   | 0.000372        | 0.000791
100   | 0.2   | 0.000732        | 0.001147
100   | 0.3   | 0.001094        | 0.001471
100   | 0.4   | 0.001469        | 0.001781
100   | 0.5   | 0.001717        | 0.002108
100   | 0.6   | 0.002055        | 0.002314
100   | 0.7   | 0.002355        | 0.002698
100   | 0.8   | 0.002860        | 0.003090
100   | 0.85  | 0.003021        | 0.003042
100   | 0.9   | 0.003212        | 0.003230
100   | 0.95  | 0.003321        | 0.003244
100   | 0.98  | 0.003505        | 0.003549
125   | 0.1   | 0.000611        | 0.001276
125   | 0.2   | 0.001219        | 0.001755
125   | 0.3   | 0.001883        | 0.002367
125   | 0.4   | 0.002365        | 0.002895
125   | 0.5   | 0.002917        | 0.003353
125   | 0.6   | 0.003427        | 0.003846
125   | 0.7   | 0.003993        | 0.004303
125   | 0.8   | 0.004309        | 0.004736
125   | 0.85  | 0.005010        | 0.004997
125   | 0.9   | 0.005334        | 0.005242
125   | 0.95  | 0.005361        | 0.005320
125   | 0.98  | 0.006011        | 0.005414
150   | 0.1   | 0.000941        | 0.001889
150   | 0.2   | 0.001806        | 0.002735
150   | 0.3   | 0.002683        | 0.003455
150   | 0.4   | 0.003653        | 0.004084
150   | 0.5   | 0.004301        | 0.004892
150   | 0.6   | 0.004894        | 0.005482
150   | 0.7   | 0.006197        | 0.006381
150   | 0.8   | 0.006957        | 0.006825
150   | 0.85  | 0.007780        | 0.007386
150   | 0.9   | 0.007532        | 0.007565
150   | 0.95  | 0.007892        | 0.007990
150   | 0.98  | 0.008405        | 0.008559
200   | 0.1   | 0.001720        | 0.003555
200   | 0.2   | 0.003381        | 0.005133
200   | 0.3   | 0.004692        | 0.006261
200   | 0.4   | 0.006661        | 0.007823
200   | 0.5   | 0.008275        | 0.009776
200   | 0.6   | 0.009820        | 0.010244
200   | 0.7   | 0.011648        | 0.012061
200   | 0.8   | 0.013409        | 0.013201
200   | 0.85  | 0.014487        | 0.012828
200   | 0.9   | 0.014686        | 0.014260
200   | 0.95  | 0.016349        | 0.015646
200   | 0.98  | 0.016647        | 0.016573
300   | 0.1   | 0.004324        | 0.009133
300   | 0.2   | 0.008855        | 0.013453
300   | 0.3   | 0.012888        | 0.016808
300   | 0.4   | 0.016923        | 0.020355
300   | 0.5   | 0.022231        | 0.024037
300   | 0.6   | 0.026347        | 0.029163
300   | 0.7   | 0.032980        | 0.034872
300   | 0.8   | 0.042306        | 0.044311
300   | 0.85  | 0.044740        | 0.042576
300   | 0.9   | 0.045936        | 0.045220
300   | 0.95  | 0.049155        | 0.046810
300   | 0.98  | 0.048590        | 0.049033
400   | 0.1   | 0.009655        | 0.020383
400   | 0.2   | 0.019511        | 0.027820
400   | 0.3   | 0.031758        | 0.043023
400   | 0.4   | 0.045570        | 0.055091
400   | 0.5   | 0.048326        | 0.054231
400   | 0.6   | 0.057697        | 0.063666
400   | 0.7   | 0.066979        | 0.073351
400   | 0.8   | 0.076183        | 0.082280
400   | 0.85  | 0.083806        | 0.083764
400   | 0.9   | 0.090301        | 0.088859
400   | 0.95  | 0.095474        | 0.094451
400   | 0.98  | 0.095052        | 0.094667
500   | 0.1   | 0.015483        | 0.031776
500   | 0.2   | 0.032632        | 0.047385
500   | 0.3   | 0.047056        | 0.062122
500   | 0.4   | 0.066693        | 0.076288
500   | 0.5   | 0.080517        | 0.090718
500   | 0.6   | 0.098316        | 0.105159
500   | 0.7   | 0.112813        | 0.119497
500   | 0.8   | 0.124838        | 0.128157
500   | 0.85  | 0.133293        | 0.135414
500   | 0.9   | 0.148245        | 0.144085
500   | 0.95  | 0.152091        | 0.147030
500   | 0.98  | 0.162611        | 0.151951
600   | 0.1   | 0.023859        | 0.047161
600   | 0.2   | 0.049379        | 0.069080
600   | 0.3   | 0.073024        | 0.092221
600   | 0.4   | 0.097196        | 0.111474
600   | 0.5   | 0.131477        | 0.146014
600   | 0.6   | 0.139437        | 0.152528
600   | 0.7   | 0.173946        | 0.173064
600   | 0.8   | 0.197891        | 0.189991
600   | 0.85  | 0.209205        | 0.200881
600   | 0.9   | 0.226487        | 0.209235
600   | 0.95  | 0.236771        | 0.217775
600   | 0.98  | 0.252882        | 0.226541
700   | 0.1   | 0.033018        | 0.064661
700   | 0.2   | 0.065194        | 0.092579
700   | 0.3   | 0.103234        | 0.123298
700   | 0.4   | 0.132445        | 0.150709
700   | 0.5   | 0.171888        | 0.179776
700   | 0.6   | 0.202910        | 0.206406
700   | 0.7   | 0.246263        | 0.229528
700   | 0.8   | 0.273288        | 0.258357
700   | 0.85  | 0.304554        | 0.271056
700   | 0.9   | 0.329074        | 0.303992
700   | 0.95  | 0.361089        | 0.308568
700   | 0.98  | 0.353037        | 0.313681
800   | 0.1   | 0.046229        | 0.086873
800   | 0.2   | 0.090875        | 0.123868
800   | 0.3   | 0.138895        | 0.164925
800   | 0.4   | 0.188760        | 0.205338
800   | 0.5   | 0.232144        | 0.242250
800   | 0.6   | 0.286393        | 0.279199
800   | 0.7   | 0.339458        | 0.309657
800   | 0.8   | 0.398181        | 0.353474
800   | 0.85  | 0.430243        | 0.376313
800   | 0.9   | 0.441252        | 0.394668
800   | 0.95  | 0.479667        | 0.414170
800   | 0.98  | 0.480963        | 0.410040
900   | 0.1   | 0.058878        | 0.106669
900   | 0.2   | 0.120406        | 0.161713
900   | 0.3   | 0.173702        | 0.213551
900   | 0.4   | 0.260005        | 0.271288
900   | 0.5   | 0.316903        | 0.307106
900   | 0.6   | 0.389874        | 0.359306
900   | 0.7   | 0.454882        | 0.400134
900   | 0.8   | 0.526582        | 0.463938
900   | 0.85  | 0.566580        | 0.493620
900   | 0.9   | 0.613154        | 0.513414
900   | 0.95  | 0.627222        | 0.521094
900   | 0.98  | 0.608419        | 0.495960
1000  | 0.1   | 0.065904        | 0.119869
1000  | 0.2   | 0.135547        | 0.176572
1000  | 0.3   | 0.205200        | 0.230714
1000  | 0.4   | 0.297140        | 0.284845
1000  | 0.5   | 0.387428        | 0.360365
1000  | 0.6   | 0.452221        | 0.415562
1000  | 0.7   | 0.518010        | 0.463781
1000  | 0.8   | 0.603540        | 0.509482
1000  | 0.85  | 0.647392        | 0.552713
1000  | 0.9   | 0.687739        | 0.556935
1000  | 0.95  | 0.742968        | 0.578660
1000  | 0.98  | 0.764139        | 0.616147
